22:42:23.589 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.589 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.629 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.629 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.629 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.629 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.629 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.629 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.629 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.629 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.629 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.629 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.629 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.629 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.629 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.629 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.629 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
22:42:23.629 -> 0x2A8; 8; 0; 10; 0; 0; 0; 0; 0; 0; 
22:42:23.669 -> 0x130; 8; FF; EF; FF; FF; FF; FF; 5A; CA; 
22:42:23.669 -> 0x2D0; 8; FF; 73; 0; F9; F7; FC; FF; CF; 
22:42:23.669 -> 0x10C; 8; FF; 0; 0; 0; 16; E9; FF; FF; 
22:42:23.669 -> 0x294; 8; 0; A0; 0; 0; 0; 0; 83; 0; 
